,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
21,1,1,27,4077.6427,6,1,1399222,0.06442723170447577,0.41596258492219246,0.24471170407555057,0.18874989101086176,0.059858264092474245,0.026291038877318967
35,1,2,24,2891.8853,5,1,958911,0.24517395253574106,0.34063849512624217,0.18712894105918068,0.054152053735956725,0.0,0.17290760039252862
36,1,1,29,2188.4222,6,1,1468274,0.036023930138380164,0.3778729310741728,0.35631837109422354,0.06738592388069257,0.05487804047473428,0.10752148440958567
41,0,2,28,4238.2221,5,1,1127203,0.11373284137817234,0.34418378943278183,0.21807074679538646,0.04136078417108542,0.016412305503090394,0.26624041987113234
49,0,2,25,2141.1468,6,1,495179,0.06779770547620154,0.4264639655558899,0.3305128044606092,0.09350760028191825,0.0,0.08171792422538113
69,1,1,27,3367.4595,6,1,2020540,0.08297484830787809,0.2761078721529888,0.15994783572708285,0.02762875270967167,0.4415304819503697,0.01181020915200887
71,1,2,29,4130.1789,6,1,1558596,0.15121044837789907,0.27081167922925503,0.37070414655240996,0.0643373908312353,0.0,0.14293633500920058
179,1,1,25,789.015,6,1,2301126,0.004345698584084488,0.1223357608405624,0.30862108376507846,0.3516539294241167,0.03906783027091954,0.17397569711523836
183,1,2,27,2720.0087,5,1,1388844,0.20301056130134126,0.40327279377669484,0.1605018274190622,0.02935894888122784,0.15930514874240737,0.04455143990253765
224,1,2,24,1518.2135,6,1,1955929,0.10023369968950815,0.2897973290441524,0.4374361237038768,0.039923228297141664,0.0,0.13260961926532097
226,0,2,26,744.6782,8,2,1026880,0.005842941726394516,0.33197647242131506,0.4048963851667186,0.05648177002181365,0.0,0.2008024306637582
230,1,2,26,2251.035,6,1,2762818,0.1018340694175295,0.22771677323660117,0.4257363315281716,0.06078576294203961,0.07667787020353856,0.10724919267211955
253,1,2,28,4277.9977,7,1,2500446,0.07442992170196837,0.26796739461680036,0.3585512344597724,0.08167023003096248,0.07491343544311695,0.1424681836760322
271,1,1,27,2914.1572,6,1,1317424,0.04159101397879498,0.4260648052563184,0.3931558860321354,0.07009892031722513,0.0,0.069090133472595
273,0,1,29,2914.1572,5,1,1207485,0.09171956587452432,0.41018314927307586,0.38981602255928643,0.018012646119827575,0.0,0.0902686161732858
280,1,2,22,1431.155,5,1,2701499,0.023267452625375763,0.26491033311505946,0.43110584160867726,0.169243075788664,0.05589859555750345,0.05557470130472009
307,1,1,27,4370.7811,4,4,2762767,0.018622272526058116,0.26921597080028825,0.31507868741736095,0.09960123311158704,0.0,0.29748183614470564
312,0,2,28,3554.5334,6,1,1290140,0.09434479978917017,0.2131303579456493,0.37508875005813325,0.050772784348985384,0.08464197683972283,0.1820221061280171
313,1,2,25,696.5615,6,1,1610356,0.14669302936741938,0.18759578627334578,0.2180126630384834,0.04718956553706137,0.24777130025907315,0.1527376555246169
314,1,2,23,4251.0949,6,5,1866385,0.06400447924731499,0.24668007940483877,0.42082689262933426,0.09036452821899019,0.0,0.17812455629465518
315,1,2,27,4147.7565,8,2,1260050,0.029100432522518947,0.36264275227173526,0.46437919130193245,0.03792944724415698,0.0,0.10594817665965636
317,1,2,26,4147.7565,6,1,1126963,0.10615521538861525,0.20536077936897662,0.31620558971323814,0.03334004754370818,0.10500167263698985,0.23393669534847195
321,1,2,27,2076.9278,6,1,1333984,0.0008995610142250582,0.25048051550843187,0.435095173555305,0.005097512413941996,0.0,0.30842723750809603
349,1,1,26,4221.5704,6,1,1676439,0.014363779415773553,0.47934162829664545,0.41522238506739584,0.050573865198793394,0.0012926208469261334,0.03920631767693307
350,1,1,25,4221.5704,7,1,1007868,0.049411232423293525,0.3239690118150393,0.5782036933407946,0.027285319109248432,0.0,0.02113074331162414
353,1,2,29,2113.889,7,1,1878007,0.03183321467917851,0.20093854815237644,0.4933016756593559,0.23338198419920692,0.0,0.04054564226863904
357,1,1,25,714.2183,6,1,1305560,0.0,0.4552452587395447,0.5083718863935782,0.010340390330586108,0.0,0.02604246453629094
