,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
0,1,1,27,4077.6427,6,1,1399222,0.0644272317044757,0.4159625849221924,0.2447117040755505,0.1887498910108617,0.0598582640924742,0.0262910388773189
1,1,1,29,2188.4222,6,1,1468274,0.0360239301383801,0.3778729310741728,0.3563183710942235,0.0673859238806925,0.0548780404747342,0.1075214844095856
2,0,2,28,4238.2221,5,1,1127203,0.1137328413781723,0.3441837894327818,0.2180707467953864,0.0413607841710854,0.0164123055030903,0.2662404198711323
3,0,2,25,2141.1468,6,1,495179,0.0677977054762015,0.4264639655558899,0.3305128044606092,0.0935076002819182,0.0,0.0817179242253811
4,1,2,29,4130.1789,6,1,1558596,0.151210448377899,0.270811679229255,0.3707041465524099,0.0643373908312353,0.0,0.1429363350092005
5,1,2,24,1518.2135,6,1,1955929,0.1002336996895081,0.2897973290441524,0.4374361237038768,0.0399232282971416,0.0,0.1326096192653209
6,0,2,26,744.6782,8,2,1026880,0.0058429417263945,0.331976472421315,0.4048963851667186,0.0564817700218136,0.0,0.2008024306637582
7,1,2,26,2251.035,6,1,2762818,0.1018340694175295,0.2277167732366011,0.4257363315281716,0.0607857629420396,0.0766778702035385,0.1072491926721195
8,1,2,28,4277.9977,7,1,2500446,0.0744299217019683,0.2679673946168003,0.3585512344597724,0.0816702300309624,0.0749134354431169,0.1424681836760322
9,1,1,27,2914.1572,6,1,1317424,0.0415910139787949,0.4260648052563184,0.3931558860321354,0.0700989203172251,0.0,0.069090133472595
10,0,1,29,2914.1572,5,1,1207485,0.0917195658745243,0.4101831492730758,0.3898160225592864,0.0180126461198275,0.0,0.0902686161732858
11,1,2,22,1431.155,5,1,2701499,0.0232674526253757,0.2649103331150594,0.4311058416086772,0.169243075788664,0.0558985955575034,0.05557470130472
12,0,2,28,3554.5334,6,1,1290140,0.0943447997891701,0.2131303579456493,0.3750887500581332,0.0507727843489853,0.0846419768397228,0.1820221061280171
