,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
0,150913,16500,322470,66380,19297,967,269260,42678,202000,26333,285233,120955
1,288200,76860,59563,101623,43685,56700,132213,37567,296150,75000,570107,42640
2,74323,0,87206,86500,3600,68300,656370,64676,1186751,0,764193,339362
3,3388,0,23500,336021,500,3625,3650,88461,21300,0,368538,8500
4,94176,6800,354673,116319,12343,189185,155537,362811,159039,0,486583,622226
5,113738,24200,287412,798316,23224,60384,111126,62936,393904,0,467015,83444
6,80045,0,162390,102785,30520,0,179043,71531,130803,0,414975,75285
7,127713,34775,861049,869280,205533,246288,500940,41469,579270,506125,779514,374910
8,97499,13600,407494,1400,34845,125363,205062,17744,426726,45000,632962,132663
9,227092,0,24000,430735,113880,7100,6125,250920,587337,353900,284575,20805
10,222105,0,99000,140670,29110,160380,120800,87030,41185,404570,173300,32014
11,102855,116866,54299,430342,6792,1680,136018,34792,61268,66000,678760,82540
12,266036,0,144189,123640,122280,142423,80504,67461,82127,0,73989,236638
13,83760,35383,11933,89430,34112,336227,141658,93490,224998,410000,467867,83742
14,46470,8617,58113,569988,23473,35683,83173,2833,102667,186667,759645,56002
15,36852,63300,73230,81106,400,36740,135998,55810,60866,0,646576,43294
16,24620,31420,11800,74892,600,74764,171292,0,365840,0,319156,15800
17,140560,2200,51500,522380,13700,25469,71772,100,376933,0,123318,63576
18,164039,48075,332575,511155,16750,245558,158378,32969,127260,53750,864124,138468
19,143750,19117,54300,91377,55333,20667,84820,5820,80370,0,408317,63513
20,34590,0,58000,43495,1750,47350,159550,52931,47150,0,411850,5650
21,104038,8833,3917,126268,43925,55030,82758,38400,54640,20000,291525,31035
22,101050,12750,79950,735265,3605,0,143050,69870,63140,0,86800,56452
23,145750,0,411310,740690,22260,38790,80140,51731,45160,0,140800,188072
24,72710,20000,64600,854630,20700,43590,63000,25000,28250,0,181400,81700
25,102160,62167,182500,102169,35333,5167,74000,51731,160000,0,379037,122025
26,50407,1700,121300,100121,0,48433,89317,134123,44797,0,303200,45047
27,36250,0,0,0,50,51350,53275,57780,150500,0,498900,7500
28,76340,51952,136050,338586,21600,11067,404233,21827,131967,205000,538435,33782
29,11842,76500,235065,644293,6875,0,206198,33074,77813,0,558958,37465
30,160200,65800,20168,649717,17705,33467,115612,58200,78817,445000,379700,132133
31,169955,0,13467,388177,28198,32267,35171,39017,166426,0,299172,30312
32,111985,0,329128,592613,14508,87217,172353,750,65963,5000,132838,61063
33,257335,76423,97160,702608,62873,228863,234035,88573,136715,0,813814,124514
34,80560,7200,223270,88500,18825,47150,61275,17715,92000,0,194600,176100
35,125075,5000,143939,97500,51065,58950,39700,19900,187300,0,286718,39631
36,173663,7658,145858,99203,47597,16000,294656,160778,68400,1074833,143397,74522
37,151817,1667,10205,97500,15500,41683,12258,95500,143850,0,262390,121573
38,204912,12083,685833,31262,8823,39493,87533,37512,45858,0,382770,34238
39,70205,145750,30925,437176,1500,2500,153225,84455,192330,0,183750,22250
40,71670,16000,35571,496870,24875,6333,72063,41132,31485,0,81533,47695
41,145865,3333,4833,123218,11867,84592,121887,73819,170077,0,405108,98083
42,86909,5625,142820,156301,22060,93650,53328,57587,123289,232833,572050,68056
43,122875,0,0,756129,26000,29960,93150,11940,242045,0,355600,5726
44,139710,0,0,258600,2800,8000,3400,61790,64900,0,75700,83050
45,76000,0,0,395620,0,0,60200,81200,41500,0,316300,109827
46,125850,3990,0,82850,14140,0,33300,53250,27610,0,414600,0
47,63450,134740,38400,288440,114680,5500,87500,104394,141815,0,314670,114590
48,199565,0,78600,132593,12798,49353,103872,120100,5050,0,233742,115646
49,80756,19040,39392,540666,19272,9900,43658,347248,231440,0,376652,64353
50,135604,13480,42368,97080,38300,39418,61820,35530,217952,0,513728,25476
51,47130,85417,0,438825,1000,55050,33575,55615,34540,0,249775,46285
52,153023,0,131052,458035,11665,86350,120370,38878,258706,0,362202,204037
53,4000,0,6000,347500,10000,24500,35500,90748,46690,0,855580,82000
54,157975,10940,11600,190667,5950,13400,89425,76765,199497,5000,200855,35527
55,110618,0,46606,704116,65360,13377,50857,85650,393800,0,232273,26418
56,228171,5167,298795,133815,25741,55913,521492,83537,37030,40000,1157244,219044
57,30490,5250,15575,24170,30,24550,114950,7475,86500,150000,561495,71525
58,71573,16620,83698,470865,7335,14345,114703,144158,225925,0,372589,41216
59,173704,38367,207893,334605,0,42041,58835,35016,218083,1138500,407463,59318
60,9592,70000,57500,52247,0,44500,45967,60126,67074,1270000,561483,7878
61,131678,1358,39881,18108,9548,12283,4360,0,60846,62233,243144,66773
62,195380,51315,237613,59717,63363,80418,247407,89964,660828,6000,566679,171975
63,112617,5913,40000,492207,973,8000,118903,28300,61629,0,332823,27480
64,134093,102858,200792,90347,27158,68717,121742,53898,68160,0,767322,688034
65,43800,0,99500,422505,0,0,113125,471250,7780,0,434800,87585
66,142780,150550,61000,179590,23720,456400,130230,44469,2520610,0,614600,36678
67,74998,52000,144395,193235,12810,182130,122058,85512,197143,31250,480473,192545
68,49267,76733,835333,454397,65000,11000,108067,58760,188833,0,1083067,110232
69,49973,0,39318,67370,6767,12767,121367,59666,14667,0,301350,69861
70,27515,9817,216683,114888,6833,119050,110983,285649,103173,0,571850,60372
71,212368,45225,34090,106926,16330,18925,191925,58633,122889,0,523725,81640
72,61740,0,56000,80350,66000,34450,60675,30225,41618,0,181468,85638
73,114507,32000,0,547035,8350,329590,16700,49241,21600,0,156020,52843
74,48835,14300,180955,501567,26648,117825,165830,65260,17562,0,614612,113521
75,54447,119158,101917,548983,13250,4300,55233,71397,60400,0,289483,32460
76,50674,30760,12580,557710,10740,4180,92190,47970,53734,709000,412298,63466
77,251767,4267,114200,89030,75053,739090,144557,73652,143787,0,299723,66520
78,212273,467,74033,547623,90337,9233,77320,60800,71657,0,274993,107717
79,79673,51425,2750,667753,7663,13000,109150,40721,38225,0,223540,149183
80,112325,0,500,86550,0,79625,80125,0,114650,0,197650,0
81,51995,0,566234,488102,36242,25175,119449,71625,76798,0,542065,179671
82,47603,9133,55799,524510,8392,9350,87252,85297,25028,0,426084,62035
83,134140,5892,97008,166328,45052,61850,127912,67849,91983,0,735149,147649
84,128312,19817,32800,92292,17907,206865,64530,49500,107253,1274167,291583,48254
85,64300,0,10000,119000,7500,15000,87600,54000,36300,0,126900,13000
86,65703,35005,46717,99147,12733,62742,44767,0,53167,700000,372290,38650
87,25550,42750,61733,383178,31883,26708,73498,45952,243567,80000,679012,35028
88,104863,0,71203,99090,78133,8800,94333,27920,45833,0,267277,84263
89,114600,0,0,276680,0,0,67450,62321,58766,0,190300,13726
90,70903,25100,43000,625530,16248,58633,49217,96210,63293,0,406637,23450
91,45555,0,233360,240259,83850,3000,593950,43338,94813,0,172660,24900
92,61394,5832,46493,72531,52253,54364,84414,50518,67677,130000,274005,24230
93,59723,19920,95656,481120,38800,9720,95910,46249,260524,600000,295802,33050
94,185250,0,35200,613430,151810,35750,52190,5096,165489,0,615950,94810
95,59200,0,212486,55950,0,19300,97100,51731,105250,0,253000,101700
96,118393,3333,113590,171692,78138,127900,203195,68336,680027,0,796175,167277
97,32290,20632,82790,122013,1750,105788,199638,50337,27977,0,867380,3900
98,37517,44347,124863,97770,19488,47650,230315,17128,242055,0,508822,133155
99,53650,97900,157070,129238,19250,71283,175853,40423,213973,0,684592,58199
100,81965,0,369900,191390,143225,21575,179646,65227,18900,0,374410,2539373
101,132530,0,6000,177860,62900,103000,68900,75445,16775,0,396750,82623
102,125213,80117,257500,73565,23585,223855,101383,5293,165462,0,352151,104857
103,29904,0,101816,699020,159390,365600,442540,134292,720400,0,280520,116373
104,24650,0,8300,525135,16817,7075,51667,53900,322300,132833,373600,20817
105,47358,9583,84430,546643,3143,7483,159775,51000,398882,0,280933,142485
106,110748,76530,177970,620735,66600,26060,172307,61174,177052,0,402584,227814
107,61050,0,185233,528500,933,147533,82000,89667,18067,48600,320427,28757
108,144268,43525,66979,51932,39410,187440,75678,33070,230989,9550,710569,164258
109,85300,1283,104667,592683,75950,31107,76525,75168,28500,0,326367,97740
110,260727,700,147603,176570,135205,92865,57000,51615,36456,0,257000,307956
111,73813,21325,73190,340380,3300,86900,158806,52200,11945,30000,559736,27556
112,325907,0,91080,537112,180610,109957,40825,106400,126855,18028,236310,123618
113,135246,24582,233052,204728,35398,82011,43462,3990,146592,0,372647,182419
114,100998,64245,212603,50097,26023,197535,85964,76010,391648,704167,453816,133814
115,177663,178073,45018,551558,13918,77538,134788,66669,137613,100000,868198,137949
116,61075,90300,106112,111560,1500,14125,67250,529262,336775,0,515376,153780
117,76382,37617,169467,133267,29625,7650,315443,304615,1029334,0,616061,170245
118,60497,8997,25133,572704,18257,13350,80761,30079,52581,45000,248397,30242
119,135617,55450,634251,600993,9700,10185,69850,55386,157333,216667,323397,377059
120,113300,0,9900,220550,104010,0,53600,56699,175335,0,106100,115
121,174561,4638,194329,253725,88725,25825,111940,68181,353403,0,410943,77459
122,77985,27383,136987,567130,22013,130498,260893,31181,199198,0,349820,228217
123,214421,48023,318704,567980,43490,96292,69072,68999,287520,9167,615673,965103
124,104535,0,18135,34250,4305,45555,13525,62250,3500,225000,66784,65582
125,180290,6000,24450,81780,2250,0,54225,55950,33950,0,191045,50390
126,56670,31000,106480,507880,0,68490,31900,88671,576124,0,284990,41643
127,59189,16000,37540,63852,133450,71106,104790,61656,88642,0,173635,56650
128,171665,87813,61842,66762,56815,18083,103379,646844,168810,0,400393,98330
129,321517,82483,87467,694201,26583,11417,97733,48450,6774,0,484167,135429
130,127425,3650,58786,610167,9926,38650,102990,63700,46312,52120,244272,60586
131,221322,120383,103917,688398,1833,417,104000,69101,3500,0,158267,59650
132,204571,0,35067,108098,3182,45533,58825,47732,354860,0,130967,2661
133,70365,10450,932145,453798,21450,24685,156596,52948,78175,0,522200,149495
134,3500,0,225939,1714293,0,0,167110,0,11700,0,417400,37106
135,249196,5372,8729,230318,120613,9797,19787,44180,200705,0,42033,33125
136,97833,5000,207533,221387,13440,66567,99553,30307,99735,0,233046,238602
137,19575,3450,0,635745,0,62050,170205,68346,121146,250000,452200,131252
